Диагностика;от 10 мин; бесплатно;
Замена экрана;от 30 мин;от 800 руб;
Замена разъема зарядки;от 30 мин;от 450 руб;
Замена сенсора;от 40 мин;от 600 руб;
Замена АКБ;от 15 мин;от 300 руб;
Чистка от воды;от 2 час.;от 600 руб;
Ремонт слухового динамика;от 5 мин;от 100 руб;
Ремонт кнопок громкости;от 20 мин; от 400 руб;
Замена корпуса;40-50 мин;от 600 руб;
Не видит SIM-карту; от 40 мин; от 600 руб;
